"Artist","SpotifyID","Followers","Popularity"
"The Beatles","3WrFJ7ztbogyGnTHbHJFl2",26777942,83
"Bob Dylan","74ASZWbe4lXaubB36ztrGX",6328857,70
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE",9032685,81
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe",13617361,78
"Chuck Berry","293zczrfYafIItmnmM3coR",1919349,71
"Jimi Hendrix","776Uo845nYHJpNaStv1Ds4",6499074,68
"James Brown","7GaxyUddsPok8BuhxN6OUW",2101312,63
"Little Richard","4xls23Ye9WR9yy3yYMpAMm",907468,55
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok",3268681,70
"Ray Charles","1eYhYunlNJlDoQhtYBvPsi",2164509,67
"Bob Marley","2QsynagSdAqZj3U9HgDzjD",11833426,77
"The Beach Boys","3oDbviiivRWhXwIE8hxkVV",4361714,74
"Buddy Holly","3wYyutjgII8LJVVOLrGI0D",1275368,56
"Led Zeppelin","36QJpDe2go2KgaRleHCDTp",13971168,75
"Stevie Wonder","7guDJrEfX3qb6FEbdPA5qi",6326039,77
"Sam Cooke","6hnWRPzGGKiapVX1UCdEAC",1564394,67
"Muddy Waters","4y6J8jwRAwO4dssiSmN91R",1261905,54
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA",5218102,73
"The Velvet Underground","1nJvji2KIlWSseXRSlNYsC",1842412,62
"Bo Diddley","2bmixwMZXlkl2sbIbOfviq",309091,45
"Otis Redding","60df5JBRRPcnSpsIMxxwQm",2177710,71
"U2","51Blml2LZPmy7TTiAg47vQ",11811745,77
"Bruce Springsteen","3eqjTLE0HfPfh78zjh6TqT",6030076,76
"Jerry Lee Lewis","2zyz0VJqrDXeFDIyrfVXSo",869109,56
"Fats Domino","09C0xjtosNAIXP36wTnWxd",528097,53
"The Ramones","1co4F2pPNH8JjTutZkmgSm",2544403,65
"Prince","5a2EaR3hamoenG9rDuVn8j",7124644,69
"The Clash","3RGLhK1IP9jnYFH4BRFJBS",2642511,68
"The Who","67ea9eGLXYMsO2eYQRui3w",5251828,66
"Nirvana","6olE6TJLqED3rqDCT0FyPh",18687524,80
"Johnny Cash","6kACVPfCOnqzgfEF5ryl0x",6097983,73
"Smokey Robinson and the Miracles","6TKOZZDd5uV5KnyC5G4MUt",1178734,56
"The Everly Brothers","4ACplpEqD6JIVgKrafauzs",905868,58
"Neil Young","6v8FB84lnmJs434UJf2Mrm",2839712,60
"Michael Jackson","3fMbdgg4jU18AjLCKBhRSm",29684597,81
"Madonna","6tbjWDEIzxoDsBA1FuhfPW",7433442,79
"Roy Orbison","0JDkhL4rjiPNEp92jAgJnS",1929569,66
"John Lennon","4x1nvY2FN8jxqAFA0DA02H",5808984,74
"David Bowie","0oSGxfWSnnOXhD2fKuz2Gy",10084982,76
"Simon and Garfunkel","70cRZdQywnSFp9pnc2WTCE",4972868,70
"The Doors","22WZ7M8sxp5THdruNY3gXt",7605315,71
"Van Morrison","44NX2ffIYHr6D4n7RaZF7A",3049301,71
"Sly and the Family Stone","5m8H6zSadhu1j9Yi04VLqD",1000667,57
"Public Enemy","6Mo9PoU6svvhgEum7wh2Nd",1049327,54
"The Byrds","1PCZpxHJz7WAMF8EEq8bfc",969948,54
"Janis Joplin","4NgfOZCL9Ml67xzM0xzIvC",3244159,61
"Patti Smith","0vYkHhJ48Bs3jWcvZXvOrP",1072109,56
"Run-DMC","3CQIn7N5CuRDP8wEI7FiDA",1311713,64
"Elton John","3PhoLpVuITZKcymswpck5b",12728802,83
"The Band","4vpDg7Y7fU982Ds30zawDA",1073466,59
"Pink Floyd","0k17h0D3J5VfsdmQ1iZtE9",19913170,78
"Queen","1dfeR4HaWDbWqFHLkxsg1d",49032793,84
"The Allman Brothers Band","4wQ3PyMz3WwJGI5uEqHUVR",1563686,61
"Howlin’ Wolf","0Wxy5Qka8BN9crcFkiAxSR",500653,50
"Eric Clapton","6PAt558ZEZl0DmdXlnjMgD",5651910,70
"Dr. Dre","6DPYiyq5kWVQS4RGwxzPC7",11021211,78
"Grateful Dead","4TMHGUX5WI7OOm53PqSDAT",1769388,63
"Parliament and Funkadelic","0IpLXaWRGGQYDxPoCIq5Ol",11036,0
"Aerosmith","7Ey4PD4MYsKc5I2dolUwbH",13977028,74
"The Sex Pistols","1u7kkVrr14iBvrpYnZILJR",1737569,53
"Metallica","2ye2Wgw4gimLv2eAKyk1NB",26485235,80
"Joni Mitchell","5hW4L92KnC6dX9t7tYM4Ve",1367382,55
"Tina Turner","1zuJe6b1roixEKMOtyrEak",3870217,69
"Phil Spector","3jVMgT4X7YeuYE4aludcmE",27875,33
"The Kinks","1SQRv42e4PjEYfPhS0Tk9E",2511047,64
"Al Green","3dkbV4qihUeMsqN4vBGg93",1897279,65
"Cream","74oJ4qxwOZvX6oSsu1DGnw",2281545,62
"The Temptations","3RwQ26hR2tJtA8F9p2n7jG",2854220,67
"Jackie Wilson","4VnomLtKTm9Ahe1tZfmZju",439372,56
"The Police","5NGO30tJxFlKixkPSgXcFE",5822204,75
"Frank Zappa","6ra4GIOgCZQZMOaUECftGN",904117,55
"AC/DC","711MCceyCBcFnzjGY4Q7Un",27780259,79
"Radiohead","4Z8W4fKeB5YxbusRsdQVPb",9213807,80
"Hank Williams","1FClsNYBUoNFtGgzeG74dW",941205,55
"Eagles","0ECwFtbIWEVNwjlrfc6xoL",10248008,76
"The Shirelles","0x83OBqixqdCHnStP5VMcn",298575,51
"Beastie Boys","03r4iKL2g2442PT9n2UKsx",2687769,67
"The Stooges","4BFMTELQyWJU1SwqcXMBm3",602256,49
"The Four Tops","7fIvjotigTGWqjIz6EP1i4",1093932,62
"Elvis Costello","2BGRfQgtzikz1pzAD0kaEn",548205,54
"The Drifters","1FqqOl9itIUpXr4jZPIVoT",508414,63
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd",6281140,78
"Eminem","7dGJo4pcD2V6oG8kP0tJRR",80398724,90
"James Taylor","0vn7UBvSQECKJm2817Yf1P",2513780,66
"Black Sabbath","5M52tdBnJaKSvOpJGz8mfZ",7470018,72
"Tupac Shakur","1ZwdS5xdxEREPySFridCfh",16970241,78
"Gram Parsons","1KA3WXYMPLxomNuoE22LYd",136777,38
"Jay-Z","3nFkdlSjzX9mRTtwJOzDYB",8802706,82
"The Yardbirds","2lxX1ivRYp26soIavdG9bX",940947,46
"Carlos Santana","6GI52t8N5F02MxU0g5U69P",3227074,69
"Tom Petty","2UZMlIwnkgAEDBsw1Rejkn",2429049,70
"Guns n’ Roses","3qm84nBOXUEQ2vnTfUTTFC",30302586,78
"Booker T. and the MGs","2vDV0T8sxx2ENnKXds75e5",286764,55
"Nine Inch Nails","0X380XXQSNBYuleKzav5UO",2467977,64
"Lynyrd Skynyrd","4MVyzYMgTwdP7Z49wAZHx0",4959521,71
"Diana Ross and the Supremes","0rXI0q8Cahq6numvPlloaq",78953,45
"R.E.M.","4KWTAlx2RvbpseOGMEmROg",4323508,72
"Curtis Mayfield","2AV6XDIs32ofIJhkkDevjm",1072616,57
"Carl Perkins","5hIClg6noTaCzMu2s5wp4f",173090,44
"Talking Heads","2x9SpqnPi8rlE9pjHBwmSC",2323392,67
